Date,AAPL US Equity - Price Earnings Ratio (P/E),AAPL US Equity - Enterprise Value/EBITDA,AAPL US Equity - Price to Sales Ratio,IBM US Equity - Price Earnings Ratio (P/E),IBM US Equity - Enterprise Value/EBITDA,IBM US Equity - Price to Sales Ratio,IBM US Equity - Price to Free Cash Flow,WMT US Equity - Price Earnings Ratio (P/E),WMT US Equity - Enterprise Value/EBITDA,WMT US Equity - Price to Sales Ratio,KO Equity (USD) - Price Earnings Ratio (P/E),KO Equity (USD) - Enterprise Value/EBITDA,KO Equity (USD) - Price to Sales Ratio,AAPL_returns,IBM_returns,WMT_returns,KO_returns
2024-10-01,38.3224,26.0281,9.1486,22.8836,18.9324,3.2458,16.1958,33.9399,17.4029,0.9791,25.4329,31.9446,6.6823,-0.003286030728177347,0.00466318649316344,0.030205048713616067,-0.05889294689258995
2024-09-01,34.8554,26.0281,9.1789,21.5996,17.4947,2.9696,14.5618,32.4604,16.7073,0.9364,26.0848,29.6913,6.7299,-0.03042921025860501,-0.06495385695220413,0.014860643321884748,-0.08491879270980518
2024-08-01,33.8021,25.4487,8.9015,20.5321,16.802,2.8228,13.8421,28.85,15.0189,0.8322,24.0223,27.5265,6.1978,0.01864495193275717,0.10331774993683451,0.04855844395026354,-0.008417221294089061
2024-07-01,32.0578,24.1152,8.4421,18.4814,15.4383,2.5409,12.4596,29.0069,15.2629,0.8315,22.9101,26.3485,5.9108,0.03115994345461237,0.0519933350014401,0.12514577186355025,0.08585559096252826
2024-06-01,29.8989,22.2962,7.8314,18.1955,15.221,2.4559,11.6076,28.1716,14.8923,0.8075,23.1179,26.6554,5.8993,0.05441087661334554,0.11095693735269085,0.013734990948804704,0.05668276428161123
2024-05-01,26.4899,19.8449,6.9385,18.1246,15.1749,2.4463,11.5624,25.4255,13.5928,0.7288,22.6917,26.2267,5.7906,0.09703859470915388,0.046849507065986895,0.03321728553700587,0.011441210994250106
2024-04-01,26.6687,19.9818,6.9853,20.8248,16.904,2.8108,13.2849,27.0516,13.9719,0.75,22.475,25.9993,5.7353,0.12869127827533777,0.0039109494707252335,0.10800342291425058,0.01877939803059836
2024-03-01,28.1542,20.9562,7.3282,20.009,16.7324,2.726,13.2937,26.3502,13.6405,0.7306,22.2466,23.3247,5.671,-0.006706260879567383,-0.12966065830965345,-0.01026866798336279,0.017719491823642075
2024-02-01,28.7227,21.4177,7.4762,19.8608,16.5837,2.7058,13.1953,24.7647,12.9437,0.6866,22.0502,23.1933,5.6209,-0.05007574303206097,0.041457957025089476,0.02661659630176816,0.019326890668081242
2024-01-01,29.9891,22.5183,7.8058,17.6862,15.1625,2.4095,11.7505,23.959,13.2472,0.6649,21.8426,22.9987,5.568,-0.01979390687933058,0.00745944809622312,0.06402423269191093,0.008908975182562173
2023-12-01,31.0376,23.1766,7.8083,17.6825,15.468,2.356,11.9279,23.6611,13.104,0.6566,21.9838,22.7176,5.6133,-0.04222717296798306,0.12295922204557375,0.05210112312348936,0.009502904956451008
2023-11-01,27.9036,20.9163,7.0198,16.1301,14.4461,2.1492,10.8808,24.8343,13.6649,0.6892,21.2502,22.0309,5.426,0.014917906572121886,0.043168865099300735,0.012589177718927758,0.016414022544533502
2023-10-01,27.9755,20.971,7.0379,15.6461,14.1037,2.0847,10.5543,29.2549,14.712,0.6841,21.0584,21.8556,5.377,0.11231474158068311,0.09623913628182557,-0.047243213685541297,0.03451937009746553
2023-09-01,31.5748,23.2334,7.7591,16.7998,14.7499,2.2,12.2306,29.7451,14.9359,0.6956,22.8446,23.6291,5.863,-0.002569987499806081,0.03093340068077599,0.021759610256413264,0.017116484685530065
2023-08-01,33.0168,24.4653,8.1134,16.4966,14.5496,2.1603,12.0099,29.2421,14.7124,0.6838,23.6464,24.3789,6.0688,-0.08744761081416563,-0.03347713755250836,-0.012984820930443286,-0.06434901701672546
2023-07-01,32.6,24.1506,8.011,15.3101,13.7332,2.0049,11.1461,29.1248,14.8987,0.6845,22.9935,23.7695,5.9012,-0.0436751805043627,0.018379782351590324,0.017202616678628546,-0.033909255502947766
2023-06-01,30.0934,22.0635,7.3442,14.8573,13.3441,1.9202,12.1366,27.2144,14.0638,0.6396,23.4663,23.7956,5.9355,0.01278537936920654,0.07749792857872406,0.017050419530829197,0.03622810019023892
2023-05-01,28.8081,21.2294,7.0305,14.6055,13.1801,1.8876,11.9308,27.9741,14.4045,0.6575,25.2324,25.4013,6.3822,0.09584368800173504,0.05478341561160871,0.07426362658650643,0.009386530187253328
2023-04-01,27.9966,20.6185,6.8325,15.1462,13.5219,1.9575,12.3726,28.2105,14.5052,0.6568,24.3985,24.652,6.1713,0.044613354826399165,0.017245407558977854,-0.027157685319397662,-0.06999226775737011
2023-03-01,25.0272,18.1819,6.1157,15.282,13.2078,1.9284,12.8448,27.1927,14.0532,0.6331,23.937,23.681,5.9899,0.0289872216279079,-0.03570060046787826,0.02806891858463678,0.042109651311192264
2023-02-01,24.4975,17.8043,5.9863,15.9238,13.5752,2.0094,13.3842,27.5256,14.2028,0.6409,24.665,24.3136,6.1721,0.12035687392018946,0.02629693219784901,0.037430534432428386,0.04234590471532318
2023-01-01,22.0594,16.0638,5.3905,16.6519,14.0275,2.1013,13.9961,28.0952,14.0629,0.6479,25.5862,25.1274,6.4026,0.021622961162599985,-0.04030273426794195,-0.012094464293009644,-0.029517326151873302
2022-12-01,24.2275,17.7588,6.0935,18.1759,14.5881,2.2155,17.5758,30.2015,15.0544,0.6965,25.5808,25.6848,6.5009,0.11052125092817544,-0.04372213499120692,0.01849483137874053,-0.0360006415737919
2022-11-01,25.0966,18.4059,6.312,16.8808,13.8061,2.0576,16.3234,28.2022,14.1875,0.6504,24.0687,24.3068,6.1167,-0.12081657787342359,-0.04251300931265922,-0.06974154141220068,0.0070922623018760955
2022-10-01,22.6187,16.733,5.6888,14.5029,12.3612,1.7678,14.024,21.438,11.9037,0.6091,22.5285,22.9037,5.7252,-0.03462888998878155,0.07672281840575312,0.07089175933840464,0.06282359536644244
