Date,AAPL US Equity - Price Earnings Ratio (P/E),AAPL US Equity - Enterprise Value/EBITDA,AAPL US Equity - Price to Sales Ratio,IBM US Equity - Price Earnings Ratio (P/E),IBM US Equity - Enterprise Value/EBITDA,IBM US Equity - Price to Sales Ratio,IBM US Equity - Price to Free Cash Flow,WMT US Equity - Price Earnings Ratio (P/E),WMT US Equity - Enterprise Value/EBITDA,WMT US Equity - Price to Sales Ratio,KO Equity (USD) - Price Earnings Ratio (P/E),KO Equity (USD) - Enterprise Value/EBITDA,KO Equity (USD) - Price to Sales Ratio
12/1/2024,37.4235,25.2546,8.9291,22.1745,18.5129,3.1449,15.6863,35.3227,18.0639,1.0192,22.5293,28.6002,5.9207
11/1/2024,37.1562,25.2276,8.8702,21.3972,17.986,3.035,15.1438,34.4443,17.64,0.9936,23.1147,29.2752,6.0732
10/1/2024,38.3224,26.0281,9.1486,22.8836,18.9324,3.2458,16.1958,33.9399,17.4029,0.9791,25.4329,31.9446,6.6823
9/1/2024,34.8554,26.0281,9.1789,21.5996,17.4947,2.9696,14.5618,32.4604,16.7073,0.9364,26.0848,29.6913,6.7299
8/1/2024,33.8021,25.4487,8.9015,20.5321,16.802,2.8228,13.8421,28.85,15.0189,0.8322,24.0223,27.5265,6.1978
7/1/2024,32.0578,24.1152,8.4421,18.4814,15.4383,2.5409,12.4596,29.0069,15.2629,0.8315,22.9101,26.3485,5.9108
6/1/2024,29.8989,22.2962,7.8314,18.1955,15.221,2.4559,11.6076,28.1716,14.8923,0.8075,23.1179,26.6554,5.8993
5/1/2024,26.4899,19.8449,6.9385,18.1246,15.1749,2.4463,11.5624,25.4255,13.5928,0.7288,22.6917,26.2267,5.7906
4/1/2024,26.6687,19.9818,6.9853,20.8248,16.904,2.8108,13.2849,27.0516,13.9719,0.75,22.475,25.9993,5.7353
3/1/2024,28.1542,20.9562,7.3282,20.009,16.7324,2.726,13.2937,26.3502,13.6405,0.7306,22.2466,23.3247,5.671
2/1/2024,28.7227,21.4177,7.4762,19.8608,16.5837,2.7058,13.1953,24.7647,12.9437,0.6866,22.0502,23.1933,5.6209
1/1/2024,29.9891,22.5183,7.8058,17.6862,15.1625,2.4095,11.7505,23.959,13.2472,0.6649,21.8426,22.9987,5.568
12/1/2023,31.0376,23.1766,7.8083,17.6825,15.468,2.356,11.9279,23.6611,13.104,0.6566,21.9838,22.7176,5.6133
11/1/2023,27.9036,20.9163,7.0198,16.1301,14.4461,2.1492,10.8808,24.8343,13.6649,0.6892,21.2502,22.0309,5.426
10/1/2023,27.9755,20.971,7.0379,15.6461,14.1037,2.0847,10.5543,29.2549,14.712,0.6841,21.0584,21.8556,5.377
9/1/2023,31.5748,23.2334,7.7591,16.7998,14.7499,2.2,12.2306,29.7451,14.9359,0.6956,22.8446,23.6291,5.863
8/1/2023,33.0168,24.4653,8.1134,16.4966,14.5496,2.1603,12.0099,29.2421,14.7124,0.6838,23.6464,24.3789,6.0688
7/1/2023,32.6,24.1506,8.011,15.3101,13.7332,2.0049,11.1461,29.1248,14.8987,0.6845,22.9935,23.7695,5.9012
6/1/2023,30.0934,22.0635,7.3442,14.8573,13.3441,1.9202,12.1366,27.2144,14.0638,0.6396,23.4663,23.7956,5.9355
5/1/2023,28.8081,21.2294,7.0305,14.6055,13.1801,1.8876,11.9308,27.9741,14.4045,0.6575,25.2324,25.4013,6.3822
4/1/2023,27.9966,20.6185,6.8325,15.1462,13.5219,1.9575,12.3726,28.2105,14.5052,0.6568,24.3985,24.652,6.1713
3/1/2023,25.0272,18.1819,6.1157,15.282,13.2078,1.9284,12.8448,27.1927,14.0532,0.6331,23.937,23.681,5.9899
2/1/2023,24.4975,17.8043,5.9863,15.9238,13.5752,2.0094,13.3842,27.5256,14.2028,0.6409,24.665,24.3136,6.1721
1/1/2023,22.0594,16.0638,5.3905,16.6519,14.0275,2.1013,13.9961,28.0952,14.0629,0.6479,25.5862,25.1274,6.4026
12/1/2022,24.2275,17.7588,6.0935,18.1759,14.5881,2.2155,17.5758,30.2015,15.0544,0.6965,25.5808,25.6848,6.5009
11/1/2022,25.0966,18.4059,6.312,16.8808,13.8061,2.0576,16.3234,28.2022,14.1875,0.6504,24.0687,24.3068,6.1167
10/1/2022,22.6187,16.733,5.6888,14.5029,12.3612,1.7678,14.024,21.438,11.9037,0.6091,22.5285,22.9037,5.7252
9/1/2022,25.9439,19.042,6.6265,16.0845,12.8961,1.9352,14.0813,21.9091,12.2305,0.6225,25.2146,25.6282,6.4601
8/1/2022,26.8168,19.6982,6.8495,16.3775,13.0644,1.9704,14.3378,21.8264,12.1909,0.6201,26.2197,26.5402,6.7176
7/1/2022,22.5611,16.6199,5.7625,17.6798,13.7705,2.1271,15.4779,20.0627,11.3404,0.586,26.01,24.6801,6.7747
6/1/2022,24.1753,17.884,6.3362,19.5261,13.664,2.135,13.4275,21.2261,11.9349,0.62,26.2044,24.8444,6.8253
